FID,ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,ODP,Proses Pemantauan,Selesai Pemantauan,PDP,Masih Dirawat,Pulang dan Sehat,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,Keterangan,Latitude,Longitude
200,3172031006,DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,124,2,122,32,4,28,23,6,8,0,9,,-6.1310038,106.8994683
201,3174011007,DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI,45,1,44,10,0,10,6,5,0,0,1,,-6.2101342,106.8500581
202,3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,54,2,52,14,1,13,13,8,2,0,3,,-6.3293992,106.9037389
203,3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,29,2,27,6,1,5,1,1,0,0,0,,-6.3125095,106.8898853
204,3173031004,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TANGKI,24,0,24,4,2,2,9,1,0,1,7,,-6.1460405,106.8232785
205,3172051001,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,98,3,95,31,7,24,21,4,3,1,13,,-6.1405527,106.845882
206,3172021007,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,46,0,46,23,2,21,19,3,1,1,14,,-6.1205405,106.876881
207,3172031001,DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,69,1,68,30,3,27,6,1,0,0,5,,-6.12075,106.9073621
208,3175091004,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,SUSUKAN,55,1,54,5,0,5,6,1,0,1,4,,-6.3134121,106.8689417
209,3175051001,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,67,0,67,13,1,12,17,6,2,0,9,,-6.3038934,106.861094
210,3175071006,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,63,6,57,20,1,19,16,6,5,0,5,,-6.224824,106.9355781
211,3174031001,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,58,0,58,2,0,2,7,3,3,0,1,,-6.2508777,106.8230215
212,3171021005,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,40,3,37,27,5,22,15,12,0,0,3,,-6.1419015,106.8284203
213,3175031004,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,19,0,19,5,0,5,8,3,3,0,2,,-6.2191685,106.8715245
214,3173071006,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,61,4,57,23,4,19,16,3,4,1,8,,-6.187458,106.8037735
215,3173061002,DKI JAKARTA,JAKARTA BARAT,KALI DERES,SEMANAN,64,0,64,15,0,15,9,2,2,1,4,,-6.1666178,106.7023827
216,3171021003,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,61,4,57,44,5,39,18,6,6,1,5,,-6.1530853,106.8334481
217,3175011004,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,205,1,204,23,1,22,26,4,2,4,16,,-6.2056402,106.8584747
218,3173031001,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TAMAN SARI,46,2,44,18,8,10,8,1,1,2,4,,-6.1461423,106.818499
219,3173041007,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ANGKE,20,0,20,8,1,7,16,4,0,0,12,,-6.1463135,106.7957768
220,3174061004,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,43,0,43,13,3,10,4,2,1,1,0,,-6.2715615,106.7951717
221,3171021002,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,77,7,70,69,8,61,17,10,2,2,3,,-6.1539045,106.8292447
222,3171061005,DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,42,0,42,9,0,9,12,8,0,1,3,,-6.184971,106.829893
223,3175091003,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,61,2,59,13,1,12,10,6,1,0,3,,-6.3399949,106.8840993
224,3171041004,DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,232,3,229,30,1,29,53,10,5,3,35,,-6.1827391,106.8456421
225,3174021008,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,19,0,19,6,0,6,7,0,2,2,3,,-6.232337,106.8289389
226,3175081001,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,MAKASAR,30,1,29,10,3,7,7,3,3,0,1,,-6.2695869,106.8886973
227,3174081005,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PENGADEGAN,31,0,31,4,0,4,10,1,4,0,5,,-6.2502309,106.8545672
228,3171071004,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,197,0,197,60,6,54,132,26,3,7,96,,-6.1964685,106.8072894
229,3172041005,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER TIMUR,73,0,73,16,4,12,9,3,2,1,3,,-6.12071,106.9333115
230,3171071007,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,38,1,37,15,1,14,11,4,1,1,5,,-6.1853115,106.8168163
231,3173041009,DKI JAKARTA,JAKARTA BARAT,TAMBORA,PEKOJAN,27,0,27,15,3,12,13,4,1,0,8,,-6.1369387,106.8040569
232,3173011003,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,RAWA BUAYA,61,0,61,9,0,9,13,4,4,1,4,,-6.1652391,106.7370274
233,3173031006,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,34,2,32,6,2,4,4,1,1,0,2,,-6.1507326,106.8145501
234,3172021001,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,TANJUNG PRIOK,71,0,71,23,1,22,38,18,1,5,14,,-6.1288579,106.8707932
235,3171031001,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,38,2,36,34,5,29,8,4,1,1,2,,-6.1625465,106.8568903
236,3171011001,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,GAMBIR,20,0,20,5,0,5,1,0,1,0,0,,-6.1711625,106.8167439
237,3175061007,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,59,1,58,11,0,11,10,6,1,0,3,,-6.172541,106.9346036
238,3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,32,1,31,13,1,12,5,1,3,1,0,,-6.191406,106.8400339
239,3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,26,0,26,5,0,5,7,3,1,1,2,,-6.245102,106.8544561
240,3175031001,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,21,0,21,3,0,3,17,5,5,2,5,,-6.2184933,106.8629903
241,3174031005,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,18,0,18,5,1,4,0,0,0,0,0,,-6.2341311,106.8204386
242,3171041005,DKI JAKARTA,JAKARTA PUSAT,SENEN,KWITANG,37,0,37,6,0,6,4,1,3,0,0,,-6.1830735,106.8398635
243,3172041003,DKI JAKARTA,JAKARTA UTARA,CILINCING,MARUNDA,54,1,53,10,0,10,5,2,0,1,2,,-6.111876,106.959497
244,3175061002,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,RAWA TERATE,20,0,20,5,1,4,4,2,1,0,1,,-6.179497,106.9248103
245,3173041010,DKI JAKARTA,JAKARTA BARAT,TAMBORA,ROA MALAKA,3,0,3,0,0,0,0,0,0,0,0,,-6.1360918,106.8096756
246,3171041001,DKI JAKARTA,JAKARTA PUSAT,SENEN,SENEN,92,0,92,4,0,4,6,3,0,1,2,,-6.184971,106.8432354
247,3171031004,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,SERDANG,75,1,74,37,1,36,11,5,3,0,3,,-6.1589157,106.8610356
248,3175061001,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,72,0,72,20,2,18,23,5,2,3,13,,-6.2291469,106.8774173
249,3172031004,DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK UTARA,88,0,88,23,4,19,7,4,0,2,1,,-6.1197778,106.8978539
250,3173041004,DKI JAKARTA,JAKARTA BARAT,TAMBORA,TANAH SEREAL,29,1,28,12,4,8,16,3,0,3,10,,-6.154279,106.8095048
251,3173041011,DKI JAKARTA,JAKARTA BARAT,TAMBORA,DURI SELATAN,13,1,12,2,0,2,0,0,0,0,0,,-6.1591415,106.8048845
